---
season: 2021-22
division: d1
gender: women
duals: 4807
description: schedule/scoreboard from team websites
---
source	id	date	time	timeZone	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	tournament	timeDisplay	location	facility	tv	radio	links
 FRES	 16962	2022-02-27	 1:00pm	PT 	W	  	PAC  	at	  	FRES 	 	   	 	 				1 p.m. PT	Fresno, CA	[Spalding G. Wathen Tennis Center](/facilities/?id=8)			
  PAC	  8052	2022-02-27	 1:00pm	   	W	  	PAC  	at	  	FRES 	 	   	 	 				1:00 p.m.	Fresno, CA				[History](/sports/womens-tennis/opponent-history/fresno-state/179)
  LAF	 11548	2022-02-27	 1:00pm	   	W	  	SIEN 	at	  	LAF  	 	   	 	 				1:00 PM					
  UNA	  3547	2022-02-27	 1:00pm	   	W	  	UNA  	at	  	CHAT 	 	   	 	 				1 PM	Chattanooga, TN				[History](/sports/womens-tennis/opponent-history/university-of-tennessee-at-chattanooga/74)
 BALL	 10018	2022-02-27	 1:00pm	   	W	  	YSU  	at	  	BALL 	 	   	 	 				1 pm	Muncie, IN				
  WCU	 14151	2022-02-27	 2:00pm	   	W	  	APP  	at	  	WCU  	 	   	 	 				2:00 PM	Cullowhee, NC				[History](/sports/womens-tennis/opponent-history/appalachian-state-university/129)
 CHAT	 12864	2022-02-27	 2:00pm	   	W	  	CHAT 	at	  	WKU  	 	   	 	 				2:00 p.m.	Bowling Green, KY				[History](/sports/womens-tennis/opponent-history/western-kentucky-university/69)
 NAVY	 21899	2022-02-27	 2:00pm	   	W	  	FDU  	at	  	NAVY 	 	   	 	 				2:00 p.m.	Annapolis, MD				[History](/sports/womens-tennis/opponent-history/fairleigh-dickinson-university/88)
 BUCK	 17525	2022-02-27	 2:00pm	   	W	  	IUP  	at	  	BUCK 	 	   	 	 				2 p.m.	South Williamsport, PA	[Central PA Tennis Center](/facilities/?id=26)			
  NIA	  9583	2022-02-27	 2:00pm	   	W	  	NIA  	at	  	HOBWS	 	   	 	 				2:00 p.m.	Geneva, NY				[History](/sports/womens-tennis/opponent-history/hobart-college/149)
   BC	 23873	2022-02-27	 3:00pm	   	W	  	BC   	at	  	VT   	 	   	 	 				3:00 PM	Blacksburg, VA				
  PUR	 56346	2022-02-27	 3:00pm	   	W	  	ILST 	at	  	PUR  	 	   	 	 				3 PM	West Lafayette, IN	[SCHWARTZ TENNIS CENTER](/facilities/?id=14)			[Watch](https://web.playsight.com/facility/purdue-university-tennis/home) [Live Stats](https://www.statbroadcast.com/events/statbroadcast.php?t=1&gid=pur) [History](/sports/womens-tennis/opponent-history/illinois-state-university/116)
 ILST	 18096	2022-02-27	 3:00pm	   	W	  	ILST 	at	  	PUR  	 	   	 	 				3 p.m.	West Lafayette, IN				
 NJIT	  8318	2022-02-27	 3:00pm	   	W	  	LIU  	at	  	NJIT 	 	   	 	 				3:00pm	Newark, NJ	[The Naimoli Family Athletic and Recreational Facility](/facilities/?id=131)			[History](/sports/womens-tennis/opponent-history/liu/369)
  LIU	  1991	2022-02-27	 3:00pm	   	W	  	LIU  	at	  	NJIT 	 	   	 	 				3:00 PM	Newark, NJ				
 MIZZ	 23641	2022-02-27	 3:00pm	   	W	  	MIZZ 	at	  	FAU  	 	   	 	 				3 p.m.	Boca Raton, FL				
  ODU	  9455	2022-02-27	 3:00pm	   	W	  	PENN 	at	  	ODU  	 	   	 	 				3:00 PM	Norfolk, VA	[Folkes-Stevens Tennis Center](/facilities/?id=6)			[History](/sports/womens-tennis/opponent-history/university-of-pennsylvania/236)
 PENN	 18190	2022-02-27	 3:00pm	   	W	  	PENN 	at	  	ODU  	 	   	 	 				3 PM	Norfolk, VA				
 PROV	 10689	2022-02-27	 3:30pm	   	W	  	PROV 	at	  	MRMK 	 	   	 	 				3:30 P.M.	North Andover, MA				
  SMU	 12527	2022-02-27	 5:00pm	   	W	  	UTA  	at	  	SMU  	 	   	 	 				5 P.M.	Dallas, TX	[Styslinger / Altec Tennis Complex](/facilities/?id=20)			
  WKU	 11596	2022-02-27	 6:00pm	   	W	  	TNST 	at	  	WKU  	 	   	 	 				6 PM	Bowling Green, KY				
 NWSU	 12441	2022-02-28	11:00am	   	W	  	NWSU 	at	  	HOU  	 	   	 	 				11 AM	Houston, TX				[History](/sports/womens-tennis/opponent-history/houston/78)
  UNF	 18088	2022-02-28	12:00pm	   	W	  	MIZZ 	at	  	UNF  	 	   	 	 				12 p.m.	Jacksonville, FL	[UNF Tennis Complex](/facilities/?id=7)			[Live Stats](http://www.sidearmstats.com/unf/wten/xlive.htm) [History](/sports/womens-tennis/opponent-history/university-of-missouri/195)
 MIZZ	 23642	2022-02-28	12:00pm	   	W	  	MIZZ 	at	  	UNF  	 	   	 	 				12 p.m.	Jacksonville, FL				
  SFU	 10949	2022-03-01	10:00am	   	W	  	MERCY	at	  	SFU  	 	   	 	 				10:00 AM	Altoona, PA	Gorilla House Gym			[History](/sports/womens-tennis/opponent-history/mercyhurst-university/154)
 FGCU	 10685	2022-03-01	10:00am	   	W	  	SJU  	at	  	FGCU 	 	   	 	 				10 AM	Fort Myers, FL	[FGCU Tennis Complex](/facilities/?id=6)			[History](/sports/womens-tennis/opponent-history/st-johns-university/400)
  SJU	 13357	2022-03-01	10:00am	   	W	  	SJU  	at	  	FGCU 	 	   	 	 				10 a.m.	Fort Myers, FL				[History](/sports/womens-tennis/opponent-history/florida-gulf-coast-university/185)
SE MO	 17127	2022-03-01	12:00pm	   	W	  	WWOOD	at	  	SE MO	 	   	 	 				12 P.M. & 3 P.M.	Cape Girardeau, MO	[Redhawks Tennis Complex](/facilities/?id=22)			[History](/sports/womens-tennis/opponent-history/william-woods-university-mo-/182)
 NOVA	 14643	2022-03-01	 1:00pm	   	W	  	NOVA 	at	  	LIP  	 	   	 	 				1:00 PM	Nashville, TN				
  UNA	  3548	2022-03-01	 2:00pm	   	W	  	UNA  	at	  	UAB  	 	   	 	 				2 PM	Birmingham, AL				[History](/sports/womens-tennis/opponent-history/university-of-alabama-at-birmingham/72)
  UAB	 20209	2022-03-01	 2:00pm	   	W	  	UNA  	at	  	UAB  	 	   	 	 				2:00 PM	George Ward Park				[History](/sports/womens-tennis/opponent-history/university-of-north-alabama/195)
 SELU	  8078	2022-03-01	 3:30pm	   	W	  	SELU 	at	  	EMBR 	 	   	 	 				3:30 p.m.	Daytona Beach, FL				
  NIA	  9598	2022-03-01	 6:00pm	   	W	  	NIA  	at	  	RIT  	 	   	 	 				6:00 p.m.	Rochester, NY				[History](/sports/womens-tennis/opponent-history/rit/95)
  BAY	 27505	2022-03-02	 1:00pm	   	W	11	BAY  	at	  	RICE 	 	   	 	 				1 PM	Houston, TX	[George R. Brown Tennis Center](https://riceowls.com/facilities/?id=7)			
 RICE	 25170	2022-03-02	 1:00pm	   	W	11	BAY  	at	  	RICE 	 	   	 	 				1 PM	Houston, TX	[George R. Brown Tennis Center](/facilities/?id=7)			[History](/sports/womens-tennis/opponent-history/baylor-university/271)
 CAMP	206031	2022-03-02	   2:00	   	W	  	CAMP 	at	  	CCAR 	 	   	 	 					Conway, SC				
 CCAR	 21463	2022-03-02	    TBA	   	W	  	CAMP 	at	  	CCAR 	 	   	 	 			2022 Spring Schedule		Conway, SC	Stevens Tennis Complex			
BCOOK	  8587	2022-03-02	    TBA	   	W	  	OAK  	at	  	BCOOK	 	   	 	 					Daytona Beach, FL				[History](/sports/womens-tennis/opponent-history/oakland-university/183)
  EIU	  8436	2022-03-02	12:00pm	   	W	  	EIU  	at	  	SLU  	 	   	 	 				12 pm	Saint Louis, MO				
PVA&M	  6287	2022-03-02	 1:00pm	   	W	  	PVA&M	  	  	SFA  	P	   	 	 				1pm	Prairie View, TX				
  SFA	  9881	2022-03-02	 1:00pm	   	W	  	SFA  	at	  	PVA&M	 	   	 	 				1:00 p.m,	Prairie View, TX				[History](/sports/womens-tennis/opponent-history/prairie-view-am-university/378)
UCONN	 21908	2022-03-02	 1:00pm	   	W	  	SHU  	at	  	UCONN	 	   	 	 				1:00 PM	Manchester, CT				at Magic Lincer Tennis Club [History](/sports/womens-tennis/opponent-history/sacred-heart-university/247)
 SDSU	 14194	2022-03-02	 1:30pm	PT 	W	  	SDSU 	at	  	USD  	 	   	 	 				1:30 p.m. PT	San Diego, CA				[History](/sports/womens-tennis/opponent-history/university-of-san-diego/134)
  USD	 12359	2022-03-02	 1:30pm	   	W	  	SDSU 	at	  	USD  	 	   	 	 				1:30 PM	San Diego, CA				[Watch](https://web.track.tennis/events/feed?account=031d1592-fcac-4e49-a766-6ccdc5e62c67#/) [History](/sports/womens-tennis/opponent-history/san-diego-state-university/145)
  ULM	 14306	2022-03-02	 2:00pm	   	W	  	ALCN 	at	  	ULM  	 	   	 	 				2 P.M.	Monroe, LA	[Heard Stadium](/facilities/?id=9)			
GWEBB	  7079	2022-03-02	 2:00pm	   	W	  	GWEBB	at	  	UNCA 	 	   	 	 				2:00 PM	Asheville, NC				
 UNCA	  5911	2022-03-02	 2:00pm	   	W	  	GWEBB	at	  	UNCA 	 	   	 	C				2:00 PM	Asheville, NC	[The Asheville Racquet Club Downtown](/facilities/?id=1)			[History](/sports/womens-tennis/opponent-history/gardner-webb-university/98)
  KSU	 16845	2022-03-02	 4:00pm	   	W	  	KSU  	at	  	NEB  	 	   	 	 			2022 Spring Schedule	4 PM	Lincoln, NE				[History](/sports/womens-tennis/opponent-history/university-of-nebraska/105)
  UCF	 17572	2022-03-03	12:00pm	   	W	  	EMICH	at	12	UCF  	 	   	 	 				12:00 PM	Orlando, FL	[USTA National Campus](/facilities/?id=14)			[History](/sports/womens-tennis/opponent-history/eastern-michigan-university/56)
EMICH	 13193	2022-03-03	12:00pm	   	W	  	EMICH	at	12	UCF  	 	   	 	 				12 p.m.	Orlando, FL				[History](/sports/womens-tennis/opponent-history/university-of-central-florida/54)
  TEM	 10860	2022-03-03	       	   	W	  	MONM 	at	  	TEM  	 	   	 	 					Philadelphia, PA				
 NOVA	 14644	2022-03-03	       	   	W	  	NOVA 	at	  	BEL  	 	   	 	 					Nashville, TN				
TULSA	 14501	2022-03-03	    TBD	   	W	  	UND  	at	  	TULSA	 	   	 	 					Tulsa, OK				[History](/sports/womens-tennis/opponent-history/university-of-north-dakota/69)
  UND	 12312	2022-03-03	    TBA	   	W	  	UND  	at	  	TULSA	 	   	 	 					Tulsa, OK				
 SALA	  9750	2022-03-03	10:00am	   	W	  	SALA 	at	  	FAU  	 	   	 	 				10 am	Boca Raton, FL				[History](/sports/womens-tennis/opponent-history/florida-atlantic-university/16)
  FAU	 19714	2022-03-03	11:00am	   	W	  	SALA 	at	  	FAU  	 	   	 	 				11 a.m.	Boca Raton, FL				[History](/sports/womens-tennis/opponent-history/university-of-south-alabama/68)
 TROY	  9092	2022-03-03	 1:30pm	   	W	  	TROY 	at	  	SAM  	 	   	 	 				1:30 p.m.	Birmingham, AL				[History](/sports/womens-tennis/opponent-history/samford-university/4)
  UAB	 20210	2022-03-03	 2:00pm	   	W	  	ALA&M	at	  	UAB  	 	   	 	 				2:00 PM	George Ward Park				[History](/sports/womens-tennis/opponent-history/alabama-am-university/66)
ALA&M	  6584	2022-03-03	 2:00pm	   	W	  	ALA&M	at	  	UAB  	 	   	 	 				2 p.m.	Birmingham, AL				
  USM	  9414	2022-03-03	 2:00pm	   	W	  	NICH 	at	  	USM  	 	   	 	 				2 P.M.	Hattiesburg, MS				[History](/sports/womens-tennis/opponent-history/nicholls/181)
 NICH	  9257	2022-03-03	 2:00pm	   	W	  	NICH 	at	  	USM  	 	   	 	 				2 p.m.	Hattiesburg, MS				[History](/sports/womens-tennis/opponent-history/university-of-southern-mississippi/6)
  RAD	 12156	2022-03-03	 2:00pm	   	W	  	UNCG 	at	  	RAD  	 	   	 	 				2:00 PM	Radford, VA	[Radford Tennis Complex](/facilities/?id=116)			[History](/sports/womens-tennis/opponent-history/unc-greensboro/115)
 UNCG	  7663	2022-03-03	 2:00pm	   	W	  	UNCG 	at	  	RAD  	 	   	 	 				2:00 p.m.	Radford, VA				[History](/sports/womens-tennis/opponent-history/radford-university/170)
  UNO	 11437	2022-03-03	 2:00pm	   	W	  	W AL 	at	  	UNO  	 	   	 	 				2 p.m.	New Orleans, LA	[University Tennis Center](/facilities/?id=4)			[History](/sports/womens-tennis/opponent-history/university-of-west-alabama/10)
 MONM	 18094	2022-03-03	 3:00pm	   	W	  	MONM 	at	  	TEM  	 	   	 	 				3:00 PM	Philadelphia, PA				[History](/sports/womens-tennis/opponent-history/temple-university/165)
WEBER	  7500	2022-03-03	 5:00pm	   	W	  	WEBER	at	  	AFA  	 	   	 	 				5:00 PM	USAF Academy, CO				
  AFA	 14514	2022-03-03	 5:00pm	MT 	W	  	WEBER	at	  	AFA  	 	   	 	 				5:00 pm MT	USAFA				
EMICH	 13214	2022-03-03	 6:00pm	   	W	  	EMICH	vs	  	UC   	 	   	N	 				6:00 p.m.	Orlando, FL				[History](/sports/womens-tennis/opponent-history/charleston/427)
 MISS	 12600	2022-03-04	 2:00pm	   	W	  	MISS 	at	 4	UGA  	 	   	 	C				2 PM	Athens, GA				
  UGA	 23009	2022-03-04	 3:00pm	   	W	  	MISS 	at	 4	UGA  	 	   	 	C				3:00 PM	Athens, GA				
 UCLA	 30673	2022-03-04	12:00pm	PT 	W	 5	UCLA 	at	  	COLO 	 	   	 	 				12:00 PM PT	Boulder, CO				
 COLO	 15747	2022-03-04	 1:00pm	MT 	W	 5	UCLA 	at	  	COLO 	 	   	 	C				1:00 PM MT	Boulder, CO				
 DUKE	 20375	2022-03-04	 6:00pm	   	W	 7	UVA  	at	 6	DUKE 	 	   	 	C				6 p.m.	Durham, NC				
 NCST	 22059	2022-03-04	 3:00pm	   	W	15	FSU  	at	 8	NCST 	 	   	 	C				3 PM	Raleigh, N.C.	[J.W. Isenhour Tennis Center](/facilities/?id=27)			[History](/sports/womens-tennis/opponent-history/florida-state-university/23)
  PSU	 15595	2022-03-04	 4:00pm	   	W	10	OSU  	at	  	PSU  	 	   	 	C				4:00PM	University Park, PA				[History](/sports/womens-tennis/opponent-history/ohio-state-university/38)
  SYR	 14413	2022-03-04	 3:00pm	   	W	12	GT   	at	  	SYR  	 	   	 	C				3 PM		[Drumlins Country Club](/facilities/?id=4)			
  A&M	 18291	2022-03-04	   5:00	   	W	  	SCAR 	at	14	A&M  	 	   	 	C					Bryan-College Station	[Mitchell Tennis Center](/facilities/?id=13)			[Watch](https://12thman.com/livetennis) [Live Stats](http://statb.us/b/381944) [History](/sports/womens-tennis/opponent-history/university-of-south-carolina/22)
 SCAR	 16709	2022-03-04	 6:00pm	   	W	  	SCAR 	at	14	A&M  	 	   	 	C				6 p.m.	College Station, TX				[History](/sports/womens-tennis/opponent-history/texas-am-university/125)
  ORE	 21483	2022-03-04	 1:30pm	PT 	W	  	ORE  	  	17	STAN 	 	   	 	 				1:30 PM PT	Stanford, CA				
 STAN	 37200	2022-03-04	 1:30pm	PT 	W	  	ORE  	at	17	STAN 	 	   	 	C				1:30 PM PT	Stanford, CA		Stanford Tennis Live Stream		[Watch](http://streamingtennis.com/Cardinal/?DB_OEM_ID=30600) [History](/sports/womens-tennis/opponent-history/university-of-oregon/3170)
  USC	 29973	2022-03-04	12:30pm	PT 	W	18	USC  	at	  	UTAH 	 	   	 	 				12:30 PM PT	Salt Lake City, UT				
 UTAH	 20534	2022-03-04	 1:30pm	MT 	W	18	USC  	at	  	UTAH 	 	   	 	C				1:30 PM MT	Salt Lake City, UT				[Watch](https://utahutes.com/sports/2018/2/16/tennis-video-streaming.aspx) [Live Stats](http://statb.us/b/381310) [History](/sports/womens-tennis/opponent-history/university-of-southern-california/45)
  FLA	 24692	2022-03-04	       	   	W	20	FLA  	at	21	LSU  	 	   	 	C					Baton Rouge, LA				
 MSST	 16820	2022-03-04	11:00am	   	W	  	MSST 	at	22	TENN 	 	   	 	 				11 a.m.	Knoxville, TN				
 TENN	 22475	2022-03-04	12:00pm	   	W	  	MSST 	at	22	TENN 	 	   	 	C				12 PM	Knoxville, TN				
  MEM	 17918	2022-03-04	 2:30pm	   	W	24	MIA  	at	  	MEM  	 	   	 	 				2:30 PM	Memphis, TN	Eldon Roark TC			
 WAKE	 12563	2022-03-04	 5:00pm	   	W	24	MIA  	at	  	WAKE 	 	   	 	C				5:00 PM	Winston-Salem, NC	[Wake Forest Tennis Center](/facilities/?id=8)			
  AUB	 20276	2022-03-04	 3:00pm	   	W	  	VANDY	at	25	AUB  	 	   	 	C				3:00 PM	Auburn, AL	[Yarbrough Tennis Center](/facilities/?id=18)			[History](/sports/womens-tennis/opponent-history/vanderbilt-university/164)
 BING	 13309	2022-03-04	    TBA	   	W	  	BING 	at	  	BUFF 	 	   	 	 					Buffalo, NY				[History](/sports/womens-tennis/opponent-history/university-at-buffalo/56)
 HALL	  8500	2022-03-04	    TBA	   	W	  	HALL 	at	  	RUT  	 	   	 	 					East Brunswick, NJ				
 MOST	  5720	2022-03-04	    TBA	   	W	  	MOST 	at	  	UTM  	 	   	 	 					Martin, Ten.				
 N IA	  6725	2022-03-04	    TBA	   	W	  	N IA 	at	  	DRAKE	 	   	 	C					Des Moines, IA				[History](/sports/womens-tennis/opponent-history/drake-university/41)
  WYO	  5500	2022-03-04	    TBA	   	W	  	NAU  	at	  	WYO  	 	   	 	 					Laramie, WY				[History](/sports/womens-tennis/opponent-history/northern-arizona-university/60)
  NEV	 10772	2022-03-04	    TBA	   	W	  	NEV  	at	  	FPU  	 	   	 	 					Fresno, CA				[History](/sports/womens-tennis/opponent-history/fresno-pacific-university-calif-/327)
 ARST	  4726	2022-03-04	       	   	W	  	TX ST	at	  	ARST 	 	   	 	 					Jonesboro, AR				
 CSLB	  7379	2022-03-04	10:00am	   	W	  	CSLB 	vs	  	HPU  	 	   	N	 				10:00 A.M.	Honolulu, HI				[History](/sports/womens-tennis/opponent-history/hawaii-pacific-university/484)
  UIC	 16946	2022-03-04	10:00am	   	W	  	MTSU 	at	  	UIC  	 	   	 	 				10:00 a.m.	Chicago	[XS Tennis Village](/facilities/?id=25)			[History](/sports/womens-tennis/opponent-history/middle-tennessee/69)
 UNLV	 15118	2022-03-04	10:00am	PT 	W	  	NMSU 	at	  	UNLV 	 	   	 	 				10 am PT	Las Vegas	Fertitta Tennis Complex			
 PORT	 11122	2022-03-04	10:00am	   	W	  	PORT 	vs	  	SEA  	 	   	N	 			UNLV Invitational	10:00 AM	Las Vegas, NV	Fertitta Complex			
 MTSU	  8779	2022-03-04	10:30am	   	W	  	MTSU 	at	  	UIC  	 	   	 	 				10:30 a.m.	Chicago	[XS Tennis Village](https://uicflames.com/facilities/xs-tennis-village/25)			[History](/sports/womens-tennis/opponent-history/uic/143)
  USU	 15035	2022-03-04	11:00am	   	W	  	BYU  	at	  	USU  	 	   	 	 				11 AM	Logan, UT	[Sports Academy & Racquet Club](/facilities/?id=6)			[History](/sports/womens-tennis/opponent-history/brigham-young-university/47)
  RUT	 12879	2022-03-04	11:00am	   	W	  	LIPST	at	  	RUT  	 	   	 	 			2022 Spring Schedule	11:00 AM	East Brunswick, NJ	[East Brunswick Racquet Club](http://ebrctennis.com/)			
  LIU	  1992	2022-03-04	11:00am	   	W	  	LIU  	at	  	RUT  	 	   	 	 				11:00 AM	East Brunswick, NJ				
 SJSU	  5902	2022-03-04	11:00am	   	W	  	SJSU 	at	  	SF   	 	   	 	 				11:00 a.m.	San Francisco, CA				
   SF	  7108	2022-03-04	11:00am	   	W	  	SJSU 	at	  	SF   	 	   	 	 				11:00 a.m.	San Francisco				[History](/sports/womens-tennis/opponent-history/san-jose-state-university/2)
TX ST	  8168	2022-03-04	11:00am	   	W	  	TX ST	at	  	ARST 	 	   	 	 				11:00 AM	Jonesboro, AR				[History](/sports/womens-tennis/opponent-history/arkansas-state-university/195)
 WAST	 14940	2022-03-04	11:30am	PT 	W	  	WAST 	at	  	ARIZ 	 	   	 	 				11:30 AM PT	Tucson, AZ				[History](/sports/womens-tennis/opponent-history/university-of-arizona/43)
 HAMP	  8450	2022-03-04	12:00pm	   	W	  	HAMP 	at	  	NCCU 	 	   	 	 				12:00 PM	Durham, NC				
 NCCU	  7088	2022-03-04	12:00pm	   	W	  	HAMP 	at	  	NCCU 	 	   	 	 				12:00 PM	Durham, NC	[Dr. James W. Younge Tennis Courts](/facilities/?id=4)			[History](/sports/womens-tennis/opponent-history/hampton-university/12)
LAMAR	 21343	2022-03-04	12:00pm	   	W	  	NWSU 	at	  	LAMAR	 	   	 	 				Noon	Beaumont, TX	[Thompson Family Tennis Center](/facilities/?id=6)			[History](/sports/womens-tennis/opponent-history/northwestern-state-university/20)
 NWSU	 12442	2022-03-04	12:00pm	   	W	  	NWSU 	at	  	LAMAR	 	   	 	 				12 PM	Beaumont, TX				[History](/sports/womens-tennis/opponent-history/lamar/58)
 WASH	 20385	2022-03-04	12:30pm	PT 	W	  	WASH 	at	  	AZST 	 	   	 	 				12:30 PM PT	Tempe, AZ				
 ARIZ	 26084	2022-03-04	12:30pm	MST	W	  	WAST 	at	  	ARIZ 	 	   	 	 				12:30 PM MST	Tucson, AZ				[History](/sports/womens-tennis/opponent-history/washington-state-university/168)
   LT	 10662	2022-03-04	 1:00pm	   	W	  	LT   	at	  	UTSA 	 	   	 	C				1 p.m.	San Antonio, TX				
 UTSA	  8919	2022-03-04	 1:00pm	   	W	  	LT   	at	  	UTSA 	 	   	 	 				1 p.m.	SAN ANTONIO, TEXAS - UTSA TENNIS CENTER				[History](/sports/womens-tennis/opponent-history/louisiana-tech/75)
 MONT	  5216	2022-03-04	 1:00pm	   	W	  	MONT 	at	  	GONZ 	 	   	 	 				1 PM (MT)	Spokane, WA				
  NIU	 15474	2022-03-04	 1:00pm	CT 	W	  	SDAK 	at	  	NIU  	 	   	 	 				1 p.m. CT	DeKalb, IL				[History](/sports/womens-tennis/opponent-history/university-of-south-dakota/124)
 SDAK	  7752	2022-03-04	 1:00pm	   	W	  	SDAK 	at	  	NIU  	 	   	 	 				1 p.m.	DeKalb, IL				
WEBER	  7605	2022-03-04	 1:00pm	   	W	  	WEBER	at	  	DEN  	 	   	 	 				1:00 PM	Denver, CO				
  DEN	 12266	2022-03-04	 1:00pm	MT 	W	  	WEBER	at	  	DEN  	 	   	 	 				1 p.m. MT	Denver, CO				[History](/sports/womens-tennis/opponent-history/weber-state-university/367)
 AZST	 29097	2022-03-04	 1:30pm	MST	W	  	WASH 	at	  	AZST 	 	   	 	 				1:30 PM MST	Tempe, AZ				[History](/sports/womens-tennis/opponent-history/university-of-washington/36)
  ISU	 14691	2022-03-04	 2:00pm	   	W	  	ISU  	at	  	VCU  	 	   	 	 				2:00 PM	Richmond, VA				
 ALCN	  6059	2022-03-04	 2:00pm	   	W	  	JKST 	at	  	ALCN 	 	   	 	C				2:00 PM	Vicksburg, MS				
 JKST	  2810	2022-03-04	 2:00pm	CT 	W	  	JKST 	at	  	ALCN 	 	   	 	C				2:00 P.M. CT	Lorman, MS				
DRAKE	 12399	2022-03-04	 2:00pm	   	W	  	N IA 	at	  	DRAKE	 	   	 	 				2pm	Des Moines, IA	[Roger Knapp Tennis Center](/facilities/?id=6)			[History](/sports/womens-tennis/opponent-history/university-of-northern-iowa/22)
MIAOH	 16850	2022-03-04	 2:30pm	   	W	  	MIAOH	at	  	MEM  	 	   	 	 				2:30 p.m.	Memphis, TN				[History](/sports/womens-tennis/opponent-history/university-of-memphis/90)
   BC	 23874	2022-03-04	 3:00pm	   	W	  	CLEM 	at	  	BC   	 	   	 	 				3:00 PM	Weymouth, MA				
 BUTL	 12449	2022-03-04	 3:00pm	   	W	  	CLEV 	at	  	BUTL 	 	   	 	 				3 PM	Indianapolis, IN				[History](/sports/womens-tennis/opponent-history/cleveland-state-university/34)
IDAHO	  8000	2022-03-04	 3:00pm	   	W	  	MTST 	at	  	IDAHO	 	   	 	C				3 P.M.	Lewiston, ID	LCSC Tennis Courts			
 MTST	  6065	2022-03-04	 3:00pm	   	W	  	MTST 	at	  	IDAHO	 	   	 	C				3 p.m.	Lewiston, ID				[History](/sports/womens-tennis/opponent-history/university-of-idaho/4)
 IDST	  8000	2022-03-04	 3:00pm	   	W	  	MTST 	at	  	IDST 	 	   	 	C				3 P.M.	Lewiston, ID	LCSC Tennis Courts			
  RUT	 12880	2022-03-04	 3:30pm	   	W	  	HALL 	at	  	RUT  	 	   	 	 			2022 Spring Schedule	3:30 PM	East Brunswick, NJ	[East Brunswick Racquet Club](http://ebrctennis.com/)			
IUPUI	 15248	2022-03-04	 4:00pm	   	W	  	CHIC 	at	  	IUPUI	 	   	 	 				4:00 P.M.	Indianapolis, IN	[West Indy Racquet Club](/facilities/?id=5)			[History](/sports/womens-tennis/opponent-history/chicago-state-university/5)
 MRSH	  8334	2022-03-04	 4:00pm	   	W	  	JMU  	at	  	MRSH 	 	   	 	 				4:00 PM	Huntington, WV				[History](/sports/womens-tennis/opponent-history/james-madison-university/40)
  SMU	 12480	2022-03-04	 5:00pm	   	W	  	HOU  	at	  	SMU  	 	   	 	C				5 P.M.	Dallas, TX	[Styslinger / Altec Tennis Complex](/facilities/?id=20)			
  ILL	 23627	2022-03-04	 5:00pm	   	W	  	ILL  	at	  	KAN  	 	   	 	 				5:00 PM	Lawrence, KS				[History](/sports/womens-tennis/opponent-history/university-of-kansas/133)
  UTM	  4314	2022-03-04	 5:00pm	   	W	  	MOST 	at	  	UTM  	 	   	 	 				5:00 p.m.	Martin, TN	[Skyhawk Tennis Complex](/facilities/?id=10)			
 BAMA	 13276	2022-03-04	 5:00pm	CT 	W	  	UK   	at	  	BAMA 	 	   	 	 				5 p.m. CT	Tuscaloosa, AL				[Live Stats](http://stats.statbroadcast.com/statmonitr/?id=382984)
   UK	  9471	2022-03-04	 5:00pm	   	W	  	UK   	at	  	BAMA 	 	   	 	 				5:00 P.M.	Tuscaloosa, AL	[The University of Alabama Tennis Stadium](https://rolltide.com/sports/2016/6/10/facilities-tennis-facilities-html.aspx)			
  NIU	 15475	2022-03-04	 6:00pm	CT 	W	  	WIWHI	at	  	NIU  	 	   	 	 				6 p.m. CT	DeKalb, IL				[History](/sports/womens-tennis/opponent-history/university-of-wisconsin-whitewater/173)
  MEM	 17919	2022-03-04	 7:00pm	   	W	  	LIP  	at	  	MEM  	 	   	 	 				7:00 PM	Memphis, TN	Eldon Roark TC			
  SFU	 10950	2022-03-04	 7:00pm	   	W	  	SFU  	at	  	NKU  	 	   	 	 				7:00 PM	Highland Heights, KY				[History](/sports/womens-tennis/opponent-history/northern-kentucky-university/311)
  NIA	  9609	2022-03-04	 9:00pm	   	W	  	DAEMN	at	  	NIA  	 	   	 	 				9:00 p.m.					[History](/sports/womens-tennis/opponent-history/daemen-college-n-y-/141)
 PEPP	 11641	2022-03-05	12:00pm	PT 	W	  	USD  	at	 2	PEPP 	 	   	 	C				12:00 p.m. PT	Malibu, CA				[Watch](https://pepperdinewaves.com/sports/2018/8/7/playsight.aspx) [Live Stats](https://pepperdinewaves.com/sports/2018/8/7/playsight.aspx) [Tickets](https://pepperdinewaves.com/sports/2018/6/15/tickets-pepp-tickets-html.aspx)
  USD	 12360	2022-03-05	12:00pm	   	W	  	USD  	at	 2	PEPP 	 	   	 	C				12:00 PM	Malibu, CA				[History](/sports/womens-tennis/opponent-history/pepperdine-university/163)
   VT	 24517	2022-03-05	10:00am	   	W	  	VT   	at	 3	UNC  	 	   	 	C				10 AM	Chapel Hill, NC				
  UNC	 23254	2022-03-05	11:00am	   	W	  	VT   	at	 3	UNC  	 	   	 	C				11 AM	Chapel Hill				[Live Stats](http://www.statbroadcast.com/events/statmonitr.php?gid=unc)
